file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/BleBusiness/src/main/java/com/yc/blesample/ble/operation/CharacteristicOperationFragment.java,com.yc.blesample.ble.operation.CharacteristicOperationFragment$Anonymous5$Anonymous6,anonymous,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/CommonLib/BaseVpAdapter/src/main/java/com/yc/basevpadapter/viewpager/SecureViewPager.java,com.yc.basevpadapter.viewpager.SecureViewPager,class,6,6,0,6,18,2,0,9,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,66,10,0,4,6,0,0,4,0,0,0,1,0,0,0,48,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/OkHttpLib/src/main/java/okhttp3/internal/connection/RealConnection.java,okhttp3.internal.connection.RealConnection$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/GlideLibrary/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,innerclass,9,9,0,9,3,2,0,2,0,0.4166667,0.0,0.0,3,0,1,0,0,2,3,0,0,0,4,0,0,3,0,1,3,0,0,19,1,0,0,0,0,0,0,5,0,5,0,0,0,0,16,8,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/NotifyBusiness/src/main/java/com/yc/ycnotification/service/MyService.java,com.yc.ycnotification.service.MyService,class,6,8,2,6,8,3,0,5,28,0.0,0.0,0.0,8,2,6,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,15,0,2,1,2,0,0,0,0,23,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/CommonLib/AppLruDisk/src/main/java/com/yc/applrudisk/DiskLruCacheHelper.java,com.yc.applrudisk.DiskLruCacheHelper,class,8,9,1,8,18,1,0,24,15,0.7857143,0.0,0.0,7,0,5,2,0,0,5,0,0,2,4,2,0,4,0,0,3,0,9,109,6,0,4,8,0,11,4,16,4,13,2,0,0,0,63,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/OkHttpLib/src/main/java/okhttp3/internal/ws/RealWebSocket.java,okhttp3.internal.ws.RealWebSocket,class,27,32,5,27,81,1,0,56,238,0.88859403,0.0,0.0,29,0,16,2,0,11,27,0,0,9,26,3,0,25,0,1,11,0,7,390,24,2,22,6,7,33,20,56,12,46,4,1,5,1,291,17,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/GlideLibrary/src/main/java/com/bumptech/glide/load/model/UnitModelLoader.java,com.bumptech.glide.load.model.UnitModelLoader,class,11,14,3,11,4,1,0,0,6,0.75,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,46,3,0,0,0,0,4,0,1,0,1,0,0,2,0,47,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/LeakCanarySdk/src/main/java/com/yc/memoryleakupload/UploadLeakService.java,com.yc.memoryleakupload.UploadLeakService,class,13,15,2,13,24,2,0,28,6,0.75,NaN,NaN,4,0,0,3,1,0,1,0,0,0,1,1,1,0,0,0,1,0,13,125,6,1,11,2,4,31,16,34,22,20,2,0,1,0,57,1,6
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/VideoView/src/main/java/com/yc/videoview/impl/FloatWindowImpl.java,com.yc.videoview.impl.FloatWindowImpl$Anonymous3$Anonymous5,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,2,0,2,0,0,0,0,8,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/VideoView/src/main/java/com/yc/videoview/impl/FloatWindowImpl.java,com.yc.videoview.impl.FloatWindowImpl$Anonymous3$Anonymous4,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/MvpTodoBusiness/src/main/java/com/yc/todoapp/util/ActivityUtils.java,com.yc.todoapp.util.ActivityUtils,class,4,7,3,4,1,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,33,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/WidgetLib/FloatWindow/src/main/java/com/yc/window/FloatWindow.java,com.yc.window.FloatWindow,class,30,42,12,30,138,1,0,93,991,0.8601694,0.0,0.0,59,0,54,5,0,0,54,0,0,0,8,0,0,8,0,0,0,0,0,496,53,0,38,2,19,6,38,89,4,23,3,0,0,0,125,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ToolLib/AnimatorHelper/src/main/java/com/yc/animatorhelper/animator/ScrollScaleAnimator.java,com.yc.animatorhelper.animator.ScrollScaleAnimator,class,7,8,1,7,14,2,0,13,10,0.85714287,0.0,0.0,5,0,4,1,0,0,4,0,0,0,6,0,1,5,0,0,0,0,0,114,0,0,0,0,0,0,17,20,4,9,1,3,0,0,44,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/VideoCache/src/main/java/com/yc/videocache/file/Files.java,com.yc.videocache.file.Files$LastModifiedComparator,innerclass,1,1,0,1,4,1,0,2,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,3,0,3,0,0,0,0,0,0,0,9,26,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/WidgetLib/WebViewLib/src/main/java/com/yc/webviewlib/inter/InterExtensionListener.java,com.yc.webviewlib.inter.InterExtensionListener,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/AnimBusiness/src/main/java/com/yc/animbusiness/ValueAnimatorAct.java,com.yc.animbusiness.ValueAnimatorAct,class,14,16,2,14,16,2,0,27,1,0.7285715,0.0,0.0,10,2,3,6,1,0,4,0,0,0,7,0,0,7,0,0,0,0,2,118,2,0,6,0,0,8,18,18,0,18,1,2,0,0,56,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ToolLib/NtpTimeLib/src/main/java/com/yc/ntptime/NtpClientHelper.java,com.yc.ntptime.NtpClientHelper,class,4,7,3,4,25,1,0,25,69,0.8869049,0.0,0.0,14,2,2,6,0,6,8,0,0,1,24,21,9,15,0,0,24,0,7,156,10,0,4,1,29,12,64,74,51,55,2,0,0,0,182,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/MonitorLib/MonitorCatonLib/src/main/java/com/yc/catonhelperlib/canary/BlockCanary.java,com.yc.catonhelperlib.canary.BlockCanary$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/AppWebView/src/main/java/com/ycbjie/ycwebview/AppUtils.java,com.ycbjie.ycwebview.AppUtils,class,11,14,3,11,14,1,0,27,21,0.0,0.0,0.0,7,7,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,100,7,5,0,0,0,0,16,43,1,36,2,0,0,0,50,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/AppHelper/src/main/java/com/yc/lifehelper/LocaleActivity.java,com.yc.lifehelper.LocaleActivity$Anonymous1,anonymous,4,4,0,4,6,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,4,0,0,0,0,5,0,1,1,0,0,0,13,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/AppHelper/src/main/java/com/yc/lifehelper/LocaleActivity.java,com.yc.lifehelper.LocaleActivity$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/MonitorLib/MonitorXposed/src/main/java/com/yc/monitorxposed/HackChecker.java,com.yc.monitorxposed.HackChecker,class,1,2,1,1,19,1,0,14,15,0.0,NaN,NaN,6,6,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,77,11,2,4,5,1,10,1,14,1,11,3,0,0,0,53,17,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/MvvmDatabinding/src/main/java/com/yc/todoappmvvm/tasks/TaskItemNavigator.java,com.yc.todoappmvvm.tasks.TaskItemNavigator,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/GlideAnnotation/compiler/test/src/test/java/com/bumptech/glide/annotation/compiler/GlideExtensionWithOptionTest.java,com.bumptech.glide.annotation.compiler.GlideExtensionWithOptionTest,class,11,12,1,11,9,1,0,20,0,0.5555556,0.0,0.0,9,0,8,1,0,0,8,0,0,0,2,0,1,1,0,0,1,0,18,32,1,0,0,0,0,13,1,2,0,2,0,0,0,0,67,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/AudioPlayer/src/main/java/com/yc/audioplayer/service/AudioService.java,com.yc.audioplayer.service.AudioService$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/AudioPlayer/src/main/java/com/yc/audioplayer/service/AudioService.java,com.yc.audioplayer.service.AudioService$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/AudioPlayer/src/main/java/com/yc/audioplayer/service/AudioService.java,com.yc.audioplayer.service.AudioService$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/AudioPlayer/src/main/java/com/yc/audioplayer/service/AudioService.java,com.yc.audioplayer.service.AudioService$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/AudioPlayer/src/main/java/com/yc/audioplayer/service/AudioService.java,com.yc.audioplayer.service.AudioService$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/AudioPlayer/src/main/java/com/yc/audioplayer/service/AudioService.java,com.yc.audioplayer.service.AudioService$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ServerLib/ObjectEqualLib/src/main/java/com/yc/objectequallib/GetterBaseEquator.java,com.yc.objectequallib.GetterBaseEquator,class,5,6,1,5,33,2,0,33,28,0.875,0.0,0.0,8,0,5,3,0,0,5,0,0,0,5,5,0,5,0,0,5,0,6,111,10,4,14,1,1,6,7,32,1,27,5,0,0,1,78,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/ThreadBusiness/src/main/java/com/yc/ycthreadpool/ThreadPollActivity.java,com.yc.ycthreadpool.ThreadPollActivity$Anonymous8,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,3,1,1,0,1,0,0,0,0,3,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/AudioPlayer/src/main/java/com/yc/audioplayer/service/AudioService.java,com.yc.audioplayer.service.AudioService$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/PlayerLib/AudioPlayer/src/main/java/com/yc/audioplayer/service/AudioService.java,com.yc.audioplayer.service.AudioService$Anonymous7,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/ThreadBusiness/src/main/java/com/yc/ycthreadpool/ThreadPollActivity.java,com.yc.ycthreadpool.ThreadPollActivity$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/ThreadBusiness/src/main/java/com/yc/ycthreadpool/ThreadPollActivity.java,com.yc.ycthreadpool.ThreadPollActivity$Anonymous3,anonymous,0,0,0,0,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,0,2,0,0,0,0,0,11,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ToolLib/ZxingServerLib/src/main/java/com/yc/zxingserver/camera/open/OpenCameraInterface.java,com.yc.zxingserver.camera.open.OpenCameraInterface,class,3,4,1,3,9,1,0,6,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,2,39,4,1,4,0,0,5,4,7,3,5,3,0,0,0,56,17,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/ThreadBusiness/src/main/java/com/yc/ycthreadpool/ThreadPollActivity.java,com.yc.ycthreadpool.ThreadPollActivity$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,2,1,0,0,0,0,0,0,0,4,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ServerLib/HttpServer/src/main/java/com/yc/httpserver/HttpException.java,com.yc.httpserver.HttpException,class,0,1,1,0,4,3,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,17,2,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/ThreadBusiness/src/main/java/com/yc/ycthreadpool/ThreadPollActivity.java,com.yc.ycthreadpool.ThreadPollActivity$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/ThreadBusiness/src/main/java/com/yc/ycthreadpool/ThreadPollActivity.java,com.yc.ycthreadpool.ThreadPollActivity$Anonymous4,anonymous,0,0,0,0,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,1,0,0,0,0,0,8,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/GlideLibrary/src/main/java/com/bumptech/glide/util/CachedHashCodeArrayMap.java,com.bumptech.glide.util.CachedHashCodeArrayMap,class,4,5,1,4,7,2,0,6,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,29,4,0,1,0,0,1,6,6,0,1,1,0,0,0,25,17,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/ThreadBusiness/src/main/java/com/yc/ycthreadpool/ThreadPollActivity.java,com.yc.ycthreadpool.ThreadPollActivity$Anonymous7,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,3,1,1,0,1,0,0,0,0,3,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/CommonLib/AppPermission/src/main/java/com/yc/apppermission/PermissionUtils.java,com.yc.apppermission.PermissionUtils$ThemeCallback,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/Business/ThreadBusiness/src/main/java/com/yc/ycthreadpool/ThreadPollActivity.java,com.yc.ycthreadpool.ThreadPollActivity$Anonymous6,anonymous,0,0,0,0,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/AppWebView/src/main/java/com/ycbjie/ycwebview/FirstActivity2.java,com.ycbjie.ycwebview.FirstActivity2$MyWebChromeClient,innerclass,3,3,0,3,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14,2,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/OkHttpLib/src/main/java/okhttp3/Callback.java,okhttp3.Callback,interface,2,7,5,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/LeakSample/src/main/java/com/example/leakcanary/MainActivity.java,com.example.leakcanary.MainActivity,class,5,6,1,5,4,2,0,6,1,0.33333334,0.0,0.0,3,0,1,0,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,30,1,0,1,0,0,1,0,4,0,3,1,2,0,0,32,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/AppMonitor/src/main/java/com/yc/appmonitor/MonitorApplication.java,com.yc.appmonitor.MonitorApplication$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/AppMonitor/src/main/java/com/yc/appmonitor/MonitorApplication.java,com.yc.appmonitor.MonitorApplication$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/AppPlayer/src/main/java/com/yc/ycvideoplayer/video/ad/AdControlView.java,com.yc.ycvideoplayer.video.ad.AdControlView$Anonymous1,anonymous,2,2,0,2,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ToolLib/ThreadPoolLib/src/main/java/com/yc/ycthreadpoollib/builder/FixedBuilderImpl.java,com.yc.ycthreadpoollib.builder.FixedBuilderImpl,class,4,6,2,4,4,2,0,1,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,15,3,0,0,0,0,0,1,2,0,1,0,0,0,0,23,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/WidgetLib/StatusBarLib/src/main/java/com/yc/statusbar/bar/BarStatusKitKat.java,com.yc.statusbar.bar.BarStatusKitKat,class,17,20,3,17,25,1,0,42,19,0.71428573,0.0,0.0,7,7,0,3,0,4,4,0,0,0,1,1,0,1,0,0,1,0,14,201,3,0,9,2,6,6,12,45,4,39,2,2,0,0,78,16,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/GlideLibrary/src/main/java/com/bumptech/glide/request/target/CustomTarget.java,com.bumptech.glide.request.target.CustomTarget,class,7,7,0,7,12,1,0,2,41,0.75757575,0.0,0.0,11,0,11,0,0,0,11,0,4,0,3,0,0,3,0,0,2,0,0,36,1,0,0,0,0,3,0,3,2,3,1,0,0,0,152,1025,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/AppLeet/src/main/java/com/yc/appleet/node/DoubleNode.java,com.yc.appleet.node.DoubleNode,class,1,1,0,1,1,1,0,2,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,2,1,0,1,0,0,1,0,7,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ToolLib/SocketIoLib/src/main/java/com/yc/socket/MessageAck.java,com.yc.socket.MessageAck,class,0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1025,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/GlideLibrary/src/main/java/com/bumptech/glide/load/data/DataRewinder.java,com.bumptech.glide.load.data.DataRewinder$Factory,interface,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/GlideLibrary/src/main/java/com/bumptech/glide/manager/TargetTracker.java,com.bumptech.glide.manager.TargetTracker,class,4,5,1,4,10,1,0,8,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,5,30,1,3,0,0,0,0,0,1,0,1,1,0,0,0,26,17,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/LeakAnalyzer/src/main/java/com/squareup/leakcanary/AnalyzerProgressListener.java,com.squareup.leakcanary.AnalyzerProgressListener,interface,3,5,2,3,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,1,1,0,23,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/ThirdLib/OkHttpLib/src/main/java/okhttp3/OkHttpClient.java,okhttp3.OkHttpClient,class,28,44,16,28,42,1,0,16,468,0.94242424,0.0,0.0,33,1,30,1,0,2,33,0,0,0,30,2,0,0,0,30,30,0,10,495,31,1,3,1,0,4,0,38,2,34,1,1,1,0,259,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yangchong211/YCAppTool/MonitorLib/MonitorKeepAlive/src/main/java/com/yc/alive/constant/AliveRomConst.java,com.yc.alive.constant.AliveRomConst,class,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,0
